sku,name,type,regular_price,sale_price,category_ids,tag_ids,images,short_description,description,stock_status,featured
WG-001,Brass Diya Set of 4,simple,899,649,Pooja Essentials,mega-saver,product-brass-diya-set.png,Hand polished brass diyas for daily pooja and festivals.,Set of four solid brass diyas with a wide oil well and a stable base. Polished by hand and packed in a cloth pouch.,instock,1
WG-002,Sandalwood Incense Sticks (100),simple,349,,Pooja Essentials,,product-sandalwood-incense.png,Slow burning sandalwood agarbatti with a soft natural fragrance.,Charcoal free incense sticks rolled with sandalwood powder and natural resins. Burns for about 45 minutes per stick.,instock,0
WG-003,Puja Thali with Accessories,simple,1499,1199,Pooja Essentials,mega-saver,product-puja-thali.png,Complete thali with bell, diya, kumkum box and aarti holder.,A ready to use puja thali made from stainless steel with brass accents. Includes bell, diya, roli chawal box and camphor holder.,instock,1
WG-004,Copper Kalash 1.5 L,simple,1299,,Pooja Essentials,,product-copper-kalash.png,Pure copper kalash for rituals and water storage.,Traditional kalash shape in pure copper with a fitted lid. Each piece is lacquer free and hand finished.,instock,0
WG-005,Ceramic Vase Ivory,simple,1099,899,Home Decor,,product-ceramic-vase.png,Matte ivory ceramic vase for dried and fresh flowers.,Wheel thrown stoneware vase with a matte glaze. Water tight interior and a wide mouth for arrangements.,instock,1
WG-006,Mandala Wall Hanging,simple,1799,,Home Decor,,product-wall-hanging-mandala.png,Hand painted wooden mandala wall art 24 inch.,Laser cut MDF base painted by hand in warm tones. Comes with a wall hook and a cleaning cloth.,instock,0
WG-007,Jute Planter Basket (Set of 2),simple,799,599,Home Decor,mega-saver,product-jute-planter.png,Natural jute baskets with waterproof lining.,Two woven jute planters with an inner PE lining so you can place potted plants directly inside.,instock,0
WG-008,Cotton Table Runner,simple,649,,Home Decor,,product-table-runner.png,Handloom cotton runner 14 x 72 inch.,Block printed handloom cotton runner with tassel ends. Machine washable in cold water.,instock,0
WG-009,Cast Iron Tawa 10 inch,simple,1599,1299,Kitchen,,product-cast-iron-tawa.png,Pre seasoned cast iron tawa for rotis and dosas.,Heavy gauge cast iron tawa seasoned with vegetable oil. Works on gas, induction and open flame.,instock,1
WG-010,Wooden Masala Box,simple,999,,Kitchen,,product-masala-box.png,Sheesham wood spice box with 7 bowls and a spoon.,Airtight glass lid keeps spices fresh. Seven stainless steel bowls sit inside a solid sheesham wood body.,instock,0
WG-011,Hammered Copper Bottle 1 L,simple,899,749,Kitchen,mega-saver,product-copper-bottle.png,Leak proof copper bottle with a hammered finish.,Single wall copper bottle with a silicone sealed cap. Wash with lemon and salt to keep the shine.,instock,0
WG-012,Festive Gift Hamper,simple,2499,1999,Gifting,,product-gift-hamper.png,Curated hamper with diyas, dry fruits and a scented candle.,A ready to gift box with two brass diyas, 250 g mixed dry fruits, a soy candle and a handwritten card option.,instock,1
